,Language,Dataset,Context,Noisy text,Normalized text,Counts
205,English,Training,. kpopers help,rt,retweet,1
206,English,Training,i was,abt,about,1
207,English,Training,"asses , but",nvm,never mind,1
208,English,Training,as a bi,nigga,nigger,1
209,English,Training,champion in the,discus,discuss,1
210,English,Training,rt @lolokim1 :,r,are,1
211,English,Training,@lolokim1 : r,u,you,1
212,English,Training,u a sofa,cuz,because,1
213,English,Training,,thats,that's,1
214,English,Training,tabaruis i think,thats,that's,1
215,English,Training,place i told,u,you,1
216,English,Training,i told u,n,and,1
217,English,Training,a different state,ive,i've,1
218,English,Training,been i just,wanna,want to,1
219,English,Training,start over you,kno,know,1
220,English,Training,: . @brain,pls,please,1
221,English,Training,for like a,sec,second,1
222,English,Training,like a sec,thx,thanks,1
223,English,Training,@__imstillboss : love,dont,don't,1
224,English,Training,thing if you,arent,aren't,1
225,English,Training,nope 8 .,chillin,chilling,1
226,English,Training,chillin 9 .,naw,now,1
227,English,Training,send me a,pic,picture,1
228,English,Training,@modelmaterial90,lil,little,1
229,English,Training,@modelmaterial90 lil,sis,sister,1
230,English,Training,@modelmaterial90 lil sis,watz,what's,1
231,English,Training,@xheartmelodies omg,thats,that's,1
232,English,Training,sit and watch,tele,television,1
233,English,Training,@ask4_suho : [,vid,video,1
234,English,Training,have to tell,u,you,1
235,English,Training,crush do plus,cutee,cute,1
236,English,Training,these,hatin,hating,1
237,English,Training,these hatin ass,niggas,niggers,1
238,English,Training,hatin ass niggas,cant,can't,1
239,English,Training,@ayu98srivastava i,couldnt,couldn't,1
240,English,Training,. . can,u,you,1
241,English,Training,u send me,screen shot,screenshot,1
242,English,Training,""" by via",nyt,new york times,1
243,English,Training,? just so,emosh,emotional,1
244,English,Training,,niggas,niggers,7
245,English,Training,to stay patient,fucc,fuck,1
246,English,Training,stay patient fucc,dat,that,1
247,English,Training,fucc dat shit,bro,brother,1
248,English,Training,! #notonemore day,im,i'm,1
249,English,Training,@ziyadseacrest edge of,tommorow,tomorrow,1
250,English,Training,: if it,aint,ain't,1
251,English,Training,i most likely,aint,ain't,1
252,English,Training,it . all,tht,that,1
253,English,Training,: i really,wanna,want to,1
254,English,Training,twitter but then,ima,i'm going to,1
255,English,Training,but then ima,b,be,1
256,English,Training,my,frnd,friend,1
257,English,Training,white elephant and,collcted,collected,1
258,English,Training,and collcted it,cus,because,1
259,English,Training,cus i was,tryin,trying,1
260,English,Training,i was tryin,2,to,1
261,English,Training,tryin 2 get,ma,my,1
262,English,Training,ma golden 1,nd,and,1
263,English,Training,golden 1 nd,naw,now,1
264,English,Training,nd naw it,wnts,wants,1
265,English,Training,naw it wnts,2,to,1
266,English,Training,2 let go,d,the,1
267,English,Training,d plamy days,wit,with,1
268,English,Training,plamy days wit,ma,my,1
269,English,Training,without getting tortillas,n,and,1
270,English,Training,gym session now,chillin,chilling,1
271,English,Training,session now chillin,watchin,watching,1
272,English,Training,off like 4,hrs,hours,1
273,English,Training,"sleep , but",im,i'm,1
274,English,Training,", but im",hype,happy,1
275,English,Training,rt @friendlyassh0le :,niggas,niggers,1
276,English,Training,"like "" i",dont,don't,1
277,English,Training,: @dante_grady lol,dey,they,1
278,English,Training,@niallofficial,d,the,1
279,English,Training,nose lift mp4-12c,spyder,spider,1
280,English,Training,tape and my,boi,boy,1
281,English,Training,my boi chinx,drugz,drugs,1
282,English,Training,,gmorning,good morning,1
283,English,Training,", entertainment ,",cusine,cuisine,1
284,English,Training,yingluck .. into,unkown,unknown,1
285,English,Training,transfer,rumour,rumor,1
286,English,Training,idk but i'm,tryna,trying to,1
287,English,Training,@kamsuaveee__ oh,yesshhh,yes,1
288,English,Training,yesshhh .. but,u,you,1
289,English,Training,u still not,gon,gonna,1
290,English,Training,finger is my,favourite,favorite,1
291,English,Training,rt @zilourryam_ :,rt,retweet,1
292,English,Training,@geeta_basra ya #homeofchampions,n,and,1
293,English,Training,it into playoffs.bt,plz,please,1
294,English,Training,into playoffs.bt plz,u,you,1
295,English,Training,u have to,b,be,1
296,English,Training,have to b,thr,there,1
297,English,Training,as #luckymascot will,u,you,1
298,English,Training,rp . retweet,pls,please,1
299,English,Training,: still a,badass,bad ass,1
300,English,Training,@sonialibra09 yup ..,n,at,1
301,English,Training,real small but,imma,i'm going to,1
302,English,Training,feeling this was,u,you,1
303,English,Training,,shoutout,shout out,1
304,English,Training,shoutout my,bro,brother,1
305,English,Training,my new,fav,favorite,1
306,English,Training,his beard .,prolly,probably,1
307,English,Training,good luck and,godbless,god bless,1
308,English,Training,to greensburg's palace,theatre,theater,1
309,English,Training,that's a ford,dumbass,dumb ass,1
310,English,Training,,cuz,because,1
311,English,Training,idk when i,gonna,going to,1
312,English,Training,@megan3321,u,you,1
313,English,Training,@megan3321 u,jst,just,1
314,English,Training,go on the,webside,website,1
315,English,Training,to the main,stge,stage,1
316,English,Training,the main stge,theyre,they're,1
317,English,Training,where,tf,the fuck,1
318,English,Training,tf is my,bestfriend,best friend,1
319,English,Training,,dont,don't,6
320,English,Training,without me .,dont,don't,3
321,English,Training,@lolcalpal,thats,that's,1
322,English,Training,thats not true,im,i'm,1
323,English,Training,"lol but ,",u,you,1
324,English,Training,with every hair,colour,color,1
325,English,Training,: i hope,u,you,1
326,English,Training,those days where,u,you,1
327,English,Training,where u catch,urself,yourself,1
328,English,Training,@sknau : when,u,you,1
329,English,Training,someone in there,favs,favorites,1
330,English,Training,in there favs,ur,your,1
331,English,Training,hi we are,doin,doing,1
332,English,Training,,fuks,fucks,1
333,English,Training,fuks,wit,with,1
334,English,Training,fuks wit,da,the,1
335,English,Training,fuks wit da,kidd,kid,1
336,English,Training,i'm bored as,fuk,fuck,1
337,English,Training,#mirabellabreakingdaisy #dyesebelangpagtugissasirena #ikawlamangfamilyandpride,pls,please,1
338,English,Training,to establish trauma,counselling,counseling,1
339,English,Training,establish trauma counselling,centres,centers,1
340,English,Training,watson appreciation tweet,congrats,congratulations,1
341,English,Training,rt @worldstarghetto :,lil,little,2
342,English,Training,career days on,u,you,1
343,English,Training,. they ask,u,you,1
344,English,Training,sucks ! love,u,you,1
345,English,Training,baby i hate,u,you,1
346,English,Training,go down the,fanclub,fan club,1
347,English,Training,@yep_itsyana lol chill,outttttt,out,1
348,English,Training,i only started,fw,forward,1
349,English,Training,ft . worth,ppl,people,1
350,English,Training,de thresh adc,plz,please,1
351,English,Training,. this focus,isnt,isn't,1
352,English,Training,@holdmywholedick : broke,niggas,niggers,1
353,English,Training,broke niggas always,tryna,trying to,1
354,English,Training,"""",im,i'm,1
355,English,Training,""" im",gonna,going to,1
356,English,Training,in chicago hmu,cause,because,1
357,English,Training,hmu cause i'm,stainin,staining,1
358,English,Training,cause i'm stainin,u,you,1
359,English,Training,he's not,holdin,holding,1
360,English,Training,"down , he's",holdin,holding,1
361,English,Training,a win for,qld,queensland,1
362,English,Training,mean jarryd .,im,i'm,1
363,English,Training,up w/ these,bitvhes,bitches,1
364,English,Training,bitvhes apologizing ?,bitvh,bitch,1
365,English,Training,i just i,dont,don't,1
366,English,Training,i just idk,im,i'm,1
367,English,Training,i've had this,acc,accident,1
368,English,Training,2009 so i,dont,don't,1
369,English,Training,bad but still,wth,with,1
370,English,Training,lol rt @kimjonginss,im,i'm,1
371,English,Training,like,dont,don't,1
372,English,Training,but i just,dont,don't,1
373,English,Training,today should,juz,just,1
374,English,Training,i like it,lyk,like,1
375,English,Training,like it lyk,dat,that,1
376,English,Training,"hey jay ,",u,you,1
377,English,Training,@itigershroff in a,theatre,theater,1
378,English,Training,yesterday right ?,congrats,congratulations,1
379,English,Training,right ? congrats,n,and,1
380,English,Training,@unicornnigs,thats,that's,1
381,English,Training,survivooooor i'm not,goin,going,1
382,English,Training,up i'm not,goin,going,1
383,English,Training,' stop i'm,goin,going,1
384,English,Training,goin ' work,hardeeeer,harder,1
385,English,Training,,whos,who's,2
386,English,Training,whos,finah,going to,1
387,English,Training,it is,soooo,so,1
388,English,Training,is soooo hot,n,in,1
389,English,Training,soooo hot n,ma,my,1
390,English,Training,hot n ma,dam,damn,1
391,English,Training,how am i,gne,gonna,1
392,English,Training,gne make it,thru,through,1
393,English,Training,make it thru,da,the,1
394,English,Training,it thru da,nite,night,1
395,English,Training,@tiffany_1208xo do,u,you,1
396,English,Training,r's ? i,dont,don't,1
397,English,Training,someone has unfollowed,u,you,1
398,English,Training,last how will,u,you,1
399,English,Training,@tay1o still,whoopin,whooping,1
400,English,Training,heard,dat,that,1
401,English,Training,hcc babes pray,4,for,1
402,English,Training,@rayfswan o,thats,that's,1
403,English,Training,great ;) aur,whats,what's,1
404,English,Training,... the spurs,aint,ain't,1
405,English,Training,the spurs aint,gon,gonna,1
406,English,Training,i doing like,taryn,trying,1
407,English,Training,taryn what i,dont,don't,1
408,English,Training,@amb_tigre @optic_scumper o,srry,sorry,1
409,English,Training,fredo ilysm can,u,you,1
410,English,Training,you ladies and,gents,gentlemen,1
411,English,Training,omg,im,i,1
412,English,Training,,everyones,everyone's,1
413,English,Training,have so much,hw,homework,1
414,English,Training,: why do,u,you,1
415,English,Training,sigh it,could've,could have,1
416,English,Training,it could've been,betetr,better,1
417,English,Training,"just said """,im,i'm,1
418,English,Training,die because i,didnt,didn't,1
419,English,Training,idiot,n,and,1
420,English,Training,rt @riorated :,lil,little,1
421,English,Training,! laylow on,d,the,1
422,English,Training,@da_choker : he,gon,gonna,1
423,English,Training,@pre_cutie : my,bf,boyfriend,1
424,English,Training,i should start,drinkin,drinking,1
425,English,Training,with my hood,niggas,niggers,1
426,English,Training,@apharaohslegacy,naw,now,1
427,English,Training,@apharaohslegacy naw a,nigga,nigger,1
428,English,Training,naw a nigga,representin,representing,1
429,English,Training,"bangin , set",trippin,tripping,1
430,English,Training,,imma,i'm going to,4
431,English,Training,i stored from,b4,before,1
432,English,Training,stored from b4,tha,the,1
433,English,Training,tha purge .,fuk,fuck,1
434,English,Training,i keep telling,u,you,1
435,English,Training,keep telling u,niggas,niggers,1
436,English,Training,with to many,niggas,niggers,1
437,English,Training,many niggas they,aint,ain't,1
438,English,Training,hoe bitches be,screamin,screaming,1
439,English,Training,"loyal "" we",talkin,talking,1
440,English,Training,""" we talkin",bout,about,1
441,English,Training,@tosibaplexus,r,are,1
442,English,Training,@tosibaplexus r,u,you,1
443,English,Training,bored,chilln,chilling,1
444,English,Training,some to do,havnt,haven't,1
445,English,Training,far if you,dont,don't,1
446,English,Training,@vr46gaza,naw,now,1
447,English,Training,if you ever,awnser,answer,1
448,English,Training,the phone you,woyld,would,1
449,English,Training,my drive way,im,i'm,1
450,English,Training,jumping on her,thats,that's,1
451,English,Training,thats how much,ive,i've,1
452,English,Training,,fucka,fuck,1
453,English,Training,fucka boo,im,i'm,1
454,English,Training,fucka boo im,bout,about,1
455,English,Training,happy birthday,brooo,brother,1
456,English,Training,brooo !!!!!.... wish,u,you,1
457,English,Training,wish u all,d,the,1
458,English,Training,may allah blessing,u,you,1
459,English,Training,... glad for,u,you,1
460,English,Training,you ? if,u,you,1
461,English,Training,see this tweet,folllow,follow,1
462,English,Training,tweet folllow me,pls,please,1
463,English,Training,", i love",u,you,2
464,English,Training,rt @theonlyreed :,u,you,1
465,English,Training,"you , and",theres,there's,1
466,English,Training,in aruba ofc,u,your,1
467,English,Training,ofc u guys,r,are,1
468,English,Training,voted for my,favourite,favorite,1
469,English,Training,vote for your,favourite,favorite,1
470,English,Training,got something on,yo,your,1
471,English,Training,on yo mind,nigga,nigger,1
472,English,Training,he is almost,thwre,there,1
473,English,Training,almost thwre and,im,i'm,1
474,English,Training,@sulcidaluke : weed,aint,ain't,1
475,English,Training,aint even a,fuckin,fucking,1
476,English,Training,is everyone getting,butthurt,butt hurt,1
477,English,Training,butthurt over this,l,laughing,1
478,English,Training,over this l,m,my,1
479,English,Training,this l m,a,ass,1
480,English,Training,l m a,o,off,1
481,English,Training,@fab_herbert i barely,realise,realize,1
482,English,Training,it was showing,whn,when,1
483,English,Training,in the 3rd,qtr,quarter,1
484,English,Training,tay is my,fav,favorite,1
485,English,Training,is my fav,bc,because,1
486,English,Training,@ajames____ : @snowflakewins,sameee,same,1
487,English,Training,: @snowflakewins sameee,heree,here,1
488,English,Training,sameee heree !!,nigga,nigger,1
489,English,Training,know cous !,u,you,1
490,English,Training,gwyn fighting ?,coz,because,1
491,English,Training,bet they're thinking,wahat,what,1
492,English,Training,@nenee_ashleyy : @richardm2013,awks,awkwards,1
493,English,Training,thought it was,cause,because,1
494,English,Training,on twitter and,yeaa,yes,1
495,English,Training,and yeaa so,awks,awkwards,1
496,English,Training,instead of thought,cuz,because,1
497,English,Training,of thought cuz,u,you,1
498,English,Training,thought cuz u,no,know,1
499,English,Training,no your place,cuz,because,1
500,English,Training,what the heldl,im,i'm,1
501,English,Training,the heldl im,cying,crying,1
502,English,Training,"hi "" """,im,i'm,1
503,English,Training,@ariamagrandeee omfg,im,i'm,1
504,English,Training,the problems in,ur,your,1
505,English,Training,own way .,dont,don't,1
506,English,Training,to bad .,u,you,1
507,English,Training,bad . u,r,are,1
508,English,Training,god . i,becum,become,1
509,English,Training,they were playing,soml,someone,1
510,English,Training,talking about smoking,wut,what,1
511,English,Training,about smoking wut,r,are,1
512,English,Training,smoking wut r,u,you,1
513,English,Training,came into my,dm,direct message,1
514,English,Training,avi is my,gf,girlfriend,1
515,English,Training,such a real,nigga,nigger,1
516,English,Training,"your life ,",u,you,1
517,English,Training,that person is,u,you,1
518,English,Training,,yall,y'all,2
519,English,Training,shane video ???,dis,this,1
520,English,Training,..... peep game,tho,though,1
521,English,Training,leg around .,niggas,niggers,1
522,English,Training,but we all,finna,going to,1
523,English,Training,me facetime girl,stoopp,stop,1
524,English,Training,: @xgoldrings lls,na,no,1
525,English,Training,know you be,flexin,flexing,1
526,English,Training,me and my,niggas,niggers,1
527,English,Training,it's pretty awesome,tho,though,1
528,English,Training,@dyrious ehhhh,dont,don't,1
529,English,Training,nakheel said on,tue,tuesday,1
530,English,Training,@oliviatkdk do,u,you,1
531,English,Training,u still keep,ur,your,1
532,English,Training,lol i have,ur,your,1
533,English,Training,solar . maybe,u,you,1
534,English,Training,them to huntermoore,lil,little,1
535,English,Training,""" @zaynmalik :",wer,where,1
536,English,Training,wer is this,pik,pick,1
537,English,Training,of me smoking,sum1,someone,1
538,English,Training,smoking sum1 tweet,pik,pick,1
539,English,Training,feel like i,aint,ain't,1
540,English,Training,i aint went,swimmin,swimming,1
541,English,Training,aint went swimmin,n,and,1
542,English,Training,""" @suna_baby :",yessssiiiirrrrr,yes sir,1
543,English,Training,is tonight ...,im,i'm,1
544,English,Training,,its,it's,2
545,English,Training,people ! fuck,u,you,1
546,English,Training,lol @username cody,cuzz,because,1
547,English,Training,you a real,nigga,nigger,1
548,English,Training,nigga next time,u,you,1
549,English,Training,or alcohol since,u,you,1
550,English,Training,@ifreke something about,ur,your,1
551,English,Training,phone charging ...,thinkin,thinking,1
552,English,Training,charging ... thinkin,bout,about,1
553,English,Training,bout unplugging it,forreal,for real,1
554,English,Training,: make sure,ppl,people,1
555,English,Training,to be before,u,you,1
556,English,Training,to fall for,em,them,1
557,English,Training,i wonder what,woulda,would have,3
558,English,Training,if i never,learnt,learned,3
559,English,Training,del rey -,summertime,summer time,1
560,English,Training,seriously,aint,ain't,1
561,English,Training,with this shit,nomore,no more,1
562,English,Training,ryu .. dodgers,mlb,major league baseball,1
563,English,Training,rt @thevinefights :,lil,little,1
564,English,Training,,feelin,feeling,1
565,English,Training,feelin bad,abt,about,1
566,English,Training,abt the weather,coz,because,1
567,English,Training,weather coz i,cnt,can't,1
568,English,Training,i cnt wear,ma,my,1
569,English,Training,@catarina_cf,pls,please,1
570,English,Training,jacket please .,im,i'm,1
571,English,Training,yes please .,im,i'm,1
572,English,Training,@ansajneeuq,yesss,yes,1
573,English,Training,the side and,thats,that's,1
574,English,Training,@win_stah : @mistergome,cuz,because,1
575,English,Training,this true life,im,i'm,1
576,English,Training,really not trust,niggas,niggers,1
577,English,Training,cassillas stop fuck,wid,with,1
578,English,Training,in .. it,shldnt,shouldn't,1
579,English,Training,,goodmorning,good morning,1
580,English,Training,transfer to psg,pls,please,1
581,English,Training,rt @flojoe98 :,favourite,favorite,1
582,English,Training,@knockknock0408 : [,vid,video,1
583,English,Training,haa ! you,fuckbag,fucking bag,1
584,English,Training,game so strong,ur,you're,1
585,English,Training,too pretty omg,im,i'm,1
586,English,Training,commented : ibaka,dont,don't,1
587,English,Training,heart where are,u,you,1
588,English,Training,@justinbieber : and,haterz,haters,1
589,English,Training,.... i love,u,you,1
590,English,Training,no,u,you,1
591,English,Training,no u,dont,don't,1
592,English,Training,no u dont,cause,because,1
593,English,Training,u dont cause,u,you,1
594,English,Training,rt @bestvinesever :,lil,little,1
595,English,Training,ooh,ikno,i know,1
596,English,Training,@shoshoni_m umm,rite,right,1
597,English,Training,the corner lol,theres,there's,1
598,English,Training,lol theres a,bball,basketball,1
599,English,Training,one is here,tho,though,1
600,English,Training,@0613heero it,doesnt,doesn't,1
601,English,Training,same meaning as,gentille,gentle,1
602,English,Training,: ( new,pic,picture,1
603,English,Training,guns & they,soundin,sounding,1
604,English,Training,champions league why,wouldnt,wouldn't,1
605,English,Training,i'm a kpop,fangirl,fan girl,1
606,English,Training,rt @itsakbeats :,lil,little,1
607,English,Training,@itsakbeats : lil,b,boy,1
608,English,Training,finally be retweeted,n,and,1
609,English,Training,imma tell,ya,you,1
610,English,Training,""" guess who",dosent,doesn't,1
611,English,Training,: #thisisthem i,ddnt,didn't,1
612,English,Training,sing what the,fux,fuck,1
613,English,Training,""" you like",em,them,1
614,English,Training,you like em,cause,because,1
615,English,Training,a stoner .,everythings,everything's,1
616,English,Training,: @pixelplay16 whenever,u,you,1
617,English,Training,ughh idk,y,why,1
618,English,Training,idk y i'm,fuckn,fucking,1
619,English,Training,! when i'm,layin,laying,1
620,English,Training,don't,u,you,1
621,English,Training,second get to,thinkin,thinking,1
622,English,Training,to thinkin ...,ur,you're,1
623,English,Training,back on these,mf,mother fuckers,1
624,English,Training,these mf all,yall,y'all,1
625,English,Training,rt @5sos :,naw,now,2
626,English,Training,marty is a,g,girl,1
627,English,Training,@frontporchstep : @state_champs,yall,y'all,1
628,English,Training,: @state_champs yall,cant,can't,1
629,English,Training,yall cant sign,deez,these,1
630,English,Training,makes no sense,bc,because,1
631,English,Training,bc i think,jazzys,jazzy's,1
632,English,Training,i think jazzys,bday,birthday,1
633,English,Training,lol we missed,u,your,1
634,English,Training,wtf is,prev,previous,1
635,English,Training,holy,fu k,fuck,1
636,English,Training,rt @pewdiepie :,rt,retweet,1
637,English,Training,back . lol,jk,just kidding,1
638,English,Training,lol jk i,wont,won't,1
639,English,Training,give no fucks,wat,what,1
640,English,Training,say about another,mf,mother fucker,1
